lon,lat,alt,prcp
109.767,31.617,1850,0.5
109.9,32.233,380,0.0
109.901,32.271,381,0.0
109.917,31.983,868,0.0
109.833,32.017,527,0.0
109.85,31.967,808,0.0
109.783,31.99,533,0.0
109.817,31.883,1571,0.0
109.967,31.817,902,0.0
109.917,31.867,1003,0.0
109.683,32.4,543,0.0
109.667,32.083,965,0.0
109.7,32.1,982,0.0
109.633,32.367,514,0.0
109.583,32.317,557,0.0
109.817,32.15,436,0.0
109.817,32.167,1069,0.0
109.817,32.1,480,0.0
109.733,31.9,974,0.0
109.65,31.867,1284,0.0
109.767,31.783,1853,0.0
109.683,31.8,1216,0.0
109.739,31.899,747,0.0
109.617,32.233,693,0.0
109.95,32.1,515,0.0
109.967,32.033,1047,0.0
109.933,32.1,383,0.0
109.928,32.103,407,0.0
109.657,32.484,623,0.0
109.7,32.5,840,0.0
110.117,32.4,897,0.0
110.317,32.167,765,0.0
110.15,32.55,886,0.0
110.15,32.417,625,0.0
110.217,32.083,448,0.0
110.15,32.167,345,0.0
110.152,32.212,264,0.0
110.05,32.367,605,0.0
110.267,32.283,618,0.0
110.283,32.317,486,0.0
110.217,32.283,414,0.0
110.35,32.383,551,0.0
110.315,32.308,625,0.0
110.05,31.717,523,0.0
109.933,31.717,1186,0.0
110.0,31.917,870,0.0
110.1,31.933,1056,0.0
110.083,31.95,486,0.0
109.817,32.467,700,0.0
109.883,32.417,654,0.0
109.85,32.467,662,0.0
109.85,32.55,805,0.0
109.733,32.533,823,0.0
110.233,32.2,269,0.0
109.95,32.417,847,0.0
109.983,32.383,641,0.0
110.617,32.6,393,2.5
110.55,32.7,293,2.0
110.717,32.65,337,2.0
110.617,32.65,279,5.5
110.483,32.517,535,0.0
110.833,32.9,289,19.5
110.867,32.817,148,49.0
110.367,32.817,227,3.5
111.117,33.017,335,3.5
110.933,33.1,315,13.5
110.933,33.033,467,8.0
110.767,32.783,330,4.0
110.25,32.733,420,3.0
110.733,33.017,834,33.0
110.833,33.017,709,28.5
110.75,33.133,825,9.5
110.683,33.033,741,41.5
110.75,32.867,213,37.0
110.267,32.583,918,0.0
110.333,32.7,468,1.0
110.3,32.633,636,0.0
111.067,32.9,274,32.5
110.983,32.95,619,36.5
110.967,32.833,158,38.5
111.0,32.833,202,84.5
110.233,32.8,346,0.5
110.1,33.083,1056,22.5
110.117,33.1,1072,0.0
110.3,33.1,734,0.0
110.283,33.033,661,29.0
110.25,33.017,696,45.5
110.3,33.033,559,17.0
110.033,33.067,526,11.0
110.117,33.183,897,23.5
110.333,32.867,293,10.5
110.233,32.983,496,3.5
110.067,32.983,320,1.5
109.8,32.95,322,0.5
110.317,32.867,428,2.0
110.017,32.917,362,0.0
110.017,32.931,268,0.0
109.917,33.2,637,7.5
109.667,33.183,912,0.0
109.65,33.133,963,2.5
110.533,32.917,389,10.5
110.467,32.883,379,7.5
110.567,32.9,398,18.5
110.367,32.9,199,16.0
109.717,33.133,963,3.5
109.763,33.102,422,0.0
109.867,33.133,683,0.5
110.433,33.017,276,34.5
110.483,33.05,539,44.0
110.45,33.033,268,45.0
110.567,33.167,859,5.0
110.5,33.05,466,60.0
110.5,33.017,470,29.0
110.883,32.6,195,1.0
110.817,32.517,441,0.0
110.8,32.583,250,1.0
110.75,32.5,637,0.0
110.717,32.467,695,0.5
110.7,32.417,1085,0.0
110.167,31.967,710,0.0
110.733,31.917,824,0.0
110.65,31.9,1369,0.0
110.45,32.233,449,0.0
110.483,32.1,668,0.0
110.417,32.15,636,0.0
110.4,32.35,499,0.0
110.367,32.25,406,0.0
111.017,32.183,789,0.0
110.683,32.333,1038,0.0
110.733,32.2,595,0.0
110.8,32.367,447,0.0
110.033,31.783,646,0.0
110.233,31.8,1366,0.0
110.25,31.933,928,0.0
110.4,31.867,897,0.0
111.183,32.2,346,0.0
111.083,32.133,889,0.0
110.933,32.2,1198,0.0
110.933,32.15,682,0.0
110.95,32.1,474,0.0
110.3,32.0,782,0.0
110.5,31.95,1113,0.0
110.317,31.967,975,0.0
110.4,32.0,567,0.0
110.467,31.883,1091,0.0
110.533,31.983,1084,0.0
111.033,32.033,280,0.0
110.63,32.063,455,0.5
110.567,32.1,710,0.0
110.133,31.667,601,0.0
110.184,31.632,753,0.0
110.533,32.1,575,0.0
110.6,32.4,542,0.0
110.567,32.367,531,0.0
110.517,32.4,289,0.0
110.683,32.1,484,0.0
110.8,32.183,620,0.0
111.167,32.9,718,74.5
111.117,32.817,232,67.5
111.167,32.75,198,28.5
111.133,32.45,285,0.5
111.083,32.5,279,0.0
111.05,32.417,846,0.0
111.367,32.417,384,0.0
111.35,32.733,439,0.0
110.967,32.538,205,0.0
111.25,32.417,173,0.0
111.033,32.617,375,0.0
111.067,32.65,229,0.5
111.25,32.75,294,10.0
110.9,32.317,514,0.0
111.2,32.467,190,0.0
110.583,31.75,1114,0.0
110.617,31.75,1086,0.0
